ID,Name,Category,Price
1,Delicious Bites,Food,29.99
2,Vintage Vineyard,Wine,49.99
3,Spice Sensation,Spices,12.5
4,Tea Harmony,Tea,9.99
5,Gourmet Catering,Catering,89.99
6,Premium Coffee,Coffee,15.75
7,Cheese Delights,Cheese,34.5
8,Sweets Galore,Food,19.99
9,Cellar Selection,Wine,69.99
10,Exotic Spices,Spices,8.99
11,Artisan Tea Blends,Tea,14.5
12,Event Catering,Catering,129.99
13,Morning Brew,Coffee,10.25
14,Cheese Elegance,Cheese,39.99
15,Savory Treats,Food,24.99
16,Red Wine Bliss,Wine,59.99
17,Aromatic Spices,Spices,11.75
18,Afternoon Tea,Tea,12.99
19,Corporate Catering,Catering,179.99
20,Espresso Delight,Coffee,18.5